name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,is_delivering_now,has_table_booking
The Creamery,"Desserts, Ice Cream",4.2,Very Good,110,R,110,2,Green Point,Cape Town,-33.9040931407,18.3990827948,0,0,0
The Velvet Cake Co.,"Cafe, Desserts, Bakery",4.4,Very Good,126,R,160,2,Bellville,Cape Town,-33.8683006732,18.6411799863,0,0,0
My Sugar,"Cafe, Patisserie, Bakery, Desserts",4.5,Excellent,195,R,125,2,Sea Point,Cape Town,-33.9216920000,18.3827590000,0,0,0
The Creamery,"Desserts, Ice Cream",4.5,Excellent,388,R,110,2,Newlands,Cape Town,-33.9702860000,18.4619500000,0,0,0
The Velvet Cake Co.,"Bakery, Desserts",4.6,Excellent,87,R,165,2,CBD,Cape Town,-33.9192997932,18.4215120971,0,0,0
Unframed Ice Cream,Ice Cream,4.7,Excellent,103,R,40,1,Gardens,Cape Town,-33.9286914060,18.4120974874,0,0,0
Moro Gelato,"Desserts, Ice Cream",4.8,Excellent,67,R,80,1,CBD,Cape Town,-33.9241081389,18.4173174575,0,0,0
Angel Berry,Desserts,3.1,Average,4,R,100,2,Foreshore,Cape Town,-33.9197674802,18.4278712794,0,0,0
Ice Cream & Fresh Juice,Desserts,0,Not rated,1,R,0,1,Sea Point,Cape Town,-33.9128031015,18.3923249692,0,0,0
Wakaberry,Desserts,0,Not rated,3,R,80,1,Strand,Cape Town,-34.1170780000,18.8253750000,0,0,0
For The Love Of Yummyness,Desserts,0,Not rated,3,R,100,2,Stellenbosch,Cape Town,-33.9371790000,18.8630870000,0,0,0
Sorbetiere,Ice Cream,0,Not rated,2,R,60,1,Woodstock,Cape Town,-33.9267000000,18.4452400000,0,0,0
Bonjour Bakery,"Bakery, Desserts",0,Not rated,3,R,120,2,Sea Point,Cape Town,-33.9145490000,18.3910310000,0,0,0
Cinnabon,Desserts,0,Not rated,3,R,100,2,"Capegate Shopping Center, Brackenfell",Cape Town,-33.8521201392,18.6971975863,0,0,0
Gelato Mania,"Desserts, Ice Cream",0,Not rated,2,R,100,2,Somerset West,Cape Town,-34.0827300000,18.8244100000,0,0,0
SoYogi,Frozen Yogurt,0,Not rated,1,R,120,2,Franschhoek,Cape Town,-33.9083989811,19.1174916923,0,0,0
Smooch,"Ice Cream, Desserts",0,Not rated,1,R,80,1,Athlone,Cape Town,-33.9674890000,18.5288620000,0,0,0
Filo Yoghurt,"Ice Cream, Desserts",0,Not rated,3,R,100,2,Sea Point,Cape Town,-33.9221690000,18.3812810000,0,0,0
Ice Rock Cafe,Desserts,0,Not rated,2,R,90,1,"Sun Valley Mall, Noordhoek",Cape Town,-34.1203230000,18.3900330000,0,0,0
Daniela's Deliciously Decadent,"Bakery, Desserts",0,Not rated,1,R,100,2,"Cape Quarter Lifestyle Center, Green Point",Cape Town,-33.9156216414,18.4178683162,0,0,0
Milky Lane,Desserts,0,Not rated,1,R,80,1,"N1 City Mall, Goodwood",Cape Town,-33.8918642477,18.5596140102,0,0,0
Smooch,"Ice Cream, Desserts",0,Not rated,2,R,80,1,"Canal Walk Mall, Century City",Cape Town,-33.8936666667,18.5093333333,0,0,0
Marcel's Frozen Yoghurt,Desserts,0,Not rated,1,R,100,2,"Grandwest Casino, Goodwood",Cape Town,-33.9169326620,18.5473586619,0,0,0
N' Ice,"Ice Cream, Desserts",0,Not rated,1,R,70,1,Strand,Cape Town,-34.1142650000,18.8225270000,0,0,0
Beijo,"Brazilian, Desserts",0,Not rated,0,R,60,1,Woodstock,Cape Town,-33.9308710000,18.4432850000,0,0,0
